"api","safari","chrome","firefox",
"BluetoothRemoteGATTCharacteristic#uuid","FALSE","TRUE","FALSE",
"BluetoothRemoteGATTCharacteristic#value","FALSE","TRUE","FALSE",
"BluetoothRemoteGATTCharacteristic#writeValue","FALSE","TRUE","FALSE",
"BluetoothRemoteGATTCharacteristic#writeValueWithoutResponse","FALSE","TRUE","FALSE",
"BluetoothRemoteGATTCharacteristic#writeValueWithResponse","FALSE","TRUE","FALSE",
"BluetoothRemoteGATTDescriptor#characteristic","FALSE","TRUE","FALSE",
"BluetoothRemoteGATTDescriptor#readValue","FALSE","TRUE","FALSE",
"BluetoothRemoteGATTDescriptor#uuid","FALSE","TRUE","FALSE",
"BluetoothRemoteGATTDescriptor#value","FALSE","TRUE","FALSE",
"BluetoothRemoteGATTDescriptor#writeValue","FALSE","TRUE","FALSE",
"BluetoothRemoteGATTServer#connect","FALSE","TRUE","FALSE",
"BluetoothRemoteGATTServer#connected","FALSE","TRUE","FALSE",
"BluetoothRemoteGATTServer#device","FALSE","TRUE","FALSE",
"BluetoothRemoteGATTServer#disconnect","FALSE","TRUE","FALSE",
"BluetoothRemoteGATTServer#getPrimaryService","FALSE","TRUE","FALSE",
"BluetoothRemoteGATTServer#getPrimaryServices","FALSE","TRUE","FALSE",
"BluetoothRemoteGATTService#device","FALSE","TRUE","FALSE",
"BluetoothRemoteGATTService#getCharacteristic","FALSE","TRUE","FALSE",
"BluetoothRemoteGATTService#getCharacteristics","FALSE","TRUE","FALSE",
"BluetoothRemoteGATTService#isPrimary","FALSE","TRUE","FALSE",
"BluetoothRemoteGATTService#uuid","FALSE","TRUE","FALSE",
"BluetoothUUID#canonicalUUID","FALSE","TRUE","FALSE",
"BluetoothUUID#getCharacteristic","FALSE","TRUE","FALSE",
"BluetoothUUID#getDescriptor","FALSE","TRUE","FALSE",
"BluetoothUUID#getService","FALSE","TRUE","FALSE",
"ByteLengthQueuingStrategy#highWaterMark","FALSE","TRUE","FALSE",
"CanvasCaptureMediaStream#canvas","FALSE","FALSE","TRUE",
"CanvasCaptureMediaStream#requestFrame","FALSE","FALSE","TRUE",
"CanvasRenderingContext2D#clearShadow","TRUE","FALSE","FALSE",
"CanvasRenderingContext2D#drawImageFromRect","TRUE","FALSE","FALSE",
"CanvasRenderingContext2D#getContextAttributes","FALSE","TRUE","FALSE",
"CanvasRenderingContext2D#mozCurrentTransform","FALSE","FALSE","TRUE",
"CanvasRenderingContext2D#mozCurrentTransformInverse","FALSE","FALSE","TRUE",
"CanvasRenderingContext2D#mozImageSmoothingEnabled","FALSE","FALSE","TRUE",
"CanvasRenderingContext2D#mozTextStyle","FALSE","FALSE","TRUE",
"CanvasRenderingContext2D#setAlpha","TRUE","FALSE","FALSE",
"CanvasRenderingContext2D#setCompositeOperation","TRUE","FALSE","FALSE",
"CanvasRenderingContext2D#setFillColor","TRUE","FALSE","FALSE",
"CanvasRenderingContext2D#setLineCap","TRUE","FALSE","FALSE",
"CanvasRenderingContext2D#setLineJoin","TRUE","FALSE","FALSE",
"CanvasRenderingContext2D#setLineWidth","TRUE","FALSE","FALSE",
"CanvasRenderingContext2D#setMiterLimit","TRUE","FALSE","FALSE",
"CanvasRenderingContext2D#setShadow","TRUE","FALSE","FALSE",
"CanvasRenderingContext2D#setStrokeColor","TRUE","FALSE","FALSE",
"CanvasRenderingContext2D#webkitBackingStorePixelRatio","TRUE","FALSE","FALSE",
"CanvasRenderingContext2D#webkitImageSmoothingEnabled","TRUE","FALSE","FALSE",
"CanvasRenderingContext2D#webkitLineDash","TRUE","FALSE","FALSE",
"CanvasRenderingContext2D#webkitLineDashOffset","TRUE","FALSE","FALSE",
"CaretPosition#getClientRect","FALSE","FALSE","TRUE",
"CaretPosition#offset","FALSE","FALSE","TRUE",
"CaretPosition#offsetNode","FALSE","FALSE","TRUE",
"chrome#app","FALSE","TRUE","FALSE",
"chrome#csi","FALSE","TRUE","FALSE",
"chrome#loadTimes","FALSE","TRUE","FALSE",
"chrome#runtime","FALSE","TRUE","FALSE",
"clientInformation#bluetooth","FALSE","TRUE","FALSE",
"clientInformation#connection","FALSE","TRUE","FALSE",
"clientInformation#deviceMemory","FALSE","TRUE","FALSE",
"clientInformation#doNotTrack","FALSE","TRUE","FALSE",
"clientInformation#hardwareConcurrency","FALSE","TRUE","FALSE",
"clientInformation#keyboard","FALSE","TRUE","FALSE",
"clientInformation#locks","FALSE","TRUE","FALSE",
"clientInformation#mediaSession","FALSE","TRUE","FALSE",
"clientInformation#permissions","FALSE","TRUE","FALSE",
"clientInformation#presentation","FALSE","TRUE","FALSE",
"clientInformation#scheduling","FALSE","TRUE","FALSE",
"clientInformation#storage","FALSE","TRUE","FALSE",
"clientInformation#usb","FALSE","TRUE","FALSE",
"clientInformation#userActivation","FALSE","TRUE","FALSE",
"clientInformation#wakeLock","FALSE","TRUE","FALSE",
"clientInformation#webdriver","TRUE","FALSE","FALSE",
"clientInformation#webkitPersistentStorage","FALSE","TRUE","FALSE",
"clientInformation#webkitTemporaryStorage","FALSE","TRUE","FALSE",
"clientInformation#xr","FALSE","TRUE","FALSE",
"ClipboardItem#presentationStyle","TRUE","FALSE","FALSE",
"CompositionEvent#locale","FALSE","FALSE","TRUE",
"CompressionStream#readable","FALSE","TRUE","FALSE",
"CompressionStream#writable","FALSE","TRUE","FALSE",
"Console#assert","TRUE","FALSE","FALSE",
"Console#clear","TRUE","FALSE","FALSE",
"console#context","FALSE","TRUE","FALSE",
"Console#count","TRUE","FALSE","FALSE",
"Console#countReset","TRUE","FALSE","FALSE",
"Console#debug","TRUE","FALSE","FALSE",
"Console#dir","TRUE","FALSE","FALSE",
"Console#dirxml","TRUE","FALSE","FALSE",
"Console#error","TRUE","FALSE","FALSE",
"console#exception","FALSE","FALSE","TRUE",
"Console#group","TRUE","FALSE","FALSE",
"Console#groupCollapsed","TRUE","FALSE","FALSE",
"Console#groupEnd","TRUE","FALSE","FALSE",
"Console#info","TRUE","FALSE","FALSE",
"console#length","FALSE","FALSE","TRUE",
"Console#log","TRUE","FALSE","FALSE",
"console#memory","FALSE","TRUE","FALSE",
"console#name","FALSE","FALSE","TRUE",
"Console#profile","TRUE","FALSE","FALSE",
"Console#profileEnd","TRUE","FALSE","FALSE",
"console#record","TRUE","FALSE","FALSE",
"Console#record","TRUE","FALSE","FALSE",
"console#recordEnd","TRUE","FALSE","FALSE",
"Console#recordEnd","TRUE","FALSE","FALSE",
"console#screenshot","TRUE","FALSE","FALSE",
"Console#screenshot","TRUE","FALSE","FALSE",
"Console#table","TRUE","FALSE","FALSE",
"console#takeHeapSnapshot","TRUE","FALSE","FALSE",
"Console#takeHeapSnapshot","TRUE","FALSE","FALSE",
"Console#time","TRUE","FALSE","FALSE",
"Console#timeEnd","TRUE","FALSE","FALSE",
"Console#timeLog","TRUE","FALSE","FALSE",
"Console#timeStamp","TRUE","FALSE","FALSE",
"Console#trace","TRUE","FALSE","FALSE",
